2020 Unofficial General Election Results,,,,,
City of Philadelphia,,,,,
Divisions 1703 of 1703 Reporting,,,,,
Downloaded at 11/10/2020 5:15:35 PM,,,,,
,,,,,
,,,,,
PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES<br/>(VOTE FOR 1),Ward-Division,JOSEPH R BIDEN AND KAMALA D HARRIS,DONALD J TRUMP AND MICHAEL R PENCE,JO JORGENSEN AND JEREMY SPIKE COHEN,Write-in
,40-44,472,22,1,0
,40-45,416,35,1,0
,40-46,382,37,2,2
,40-47,126,5,0,0
,40-48,406,45,1,2
,40-49,326,138,4,0
,40-50,363,47,4,0
,40-51,297,31,1,1
,41-01,209,82,5,0
,41-02,276,67,0,1
,41-03,220,51,1,0
,41-04,235,101,4,0
,41-05,154,61,1,0
,41-06,243,102,0,1
,41-07,197,68,2,0
,41-08,251,90,1,2
,41-09,272,100,3,0
,41-10,241,112,2,0
,41-11,228,77,3,0
,41-12,227,89,5,1
,41-13,239,126,5,0
,41-14,233,94,2,0
,41-15,223,106,5,2
,41-16,160,80,1,2
,41-17,180,124,0,1
,41-18,177,108,3,2
,41-19,198,104,5,0
,41-20,222,92,4,2
,41-21,207,106,4,0
,41-22,222,110,3,0
,41-23,222,128,1,1
,41-24,232,109,1,0
,41-25,252,155,3,0
,41-26,198,90,0,1
,42-01,440,78,2,0
,42-02,288,75,0,1
,42-03,287,57,1,0
,42-04,280,43,2,0
,42-05,425,55,4,0
,42-06,250,79,3,0
,42-07,283,60,1,0
,42-08,370,66,2,0
,42-09,310,47,2,0
,42-10,315,78,2,0
,42-11,344,37,1,0
,42-12,325,23,3,0
,42-13,488,35,0,0
,42-14,420,49,1,2
,42-15,513,72,2,1
,42-16,356,50,2,3
,42-17,318,47,4,1
,42-18,381,62,2,1
,42-19,399,60,6,0
,42-20,427,50,5,0
,42-21,264,27,1,0
,42-22,365,40,5,2
,42-23,228,37,0,0
,42-24,384,69,7,1
,42-25,315,35,2,1
,43-01,186,9,0,0
,43-02,397,41,3,0
,43-03,300,42,3,0
,43-04,307,19,2,0
,43-05,279,19,1,0
,43-06,264,38,1,0
,43-07,358,34,1,0
,43-08,290,22,0,0
,43-09,234,14,2,3
,43-10,205,3,0,0
,43-11,181,20,1,0
,43-12,219,49,0,0
,43-13,255,26,2,2
,43-14,252,9,0,2
,43-15,218,4,1,1
,43-16,261,18,1,0
,43-17,217,33,2,2
,43-18,310,41,1,0
,43-19,281,48,3,1
,43-20,297,34,5,0
,43-21,228,29,1,0
,43-22,183,10,0,0
,43-23,188,6,2,1
,43-24,242,10,1,0
,43-25,276,21,0,1
,44-01,351,7,0,2
,44-02,371,7,2,0
,44-03,228,9,1,0
,44-04,310,8,5,0
,44-05,242,9,1,0
,44-06,381,11,1,2
,44-07,384,9,2,1
,44-08,244,8,3,1
,44-09,269,9,1,1
,44-10,348,7,0,1
,44-11,370,5,2,1
,44-12,194,8,0,0
,44-13,271,9,0,0
,44-14,328,19,2,1
,44-15,327,11,1,1
,44-16,294,6,1,1
,44-17,267,13,0,1
,44-18,232,8,2,1
,44-19,326,12,1,1
,45-01,169,303,5,1
,45-02,187,145,5,2
,45-03,232,479,11,1
,45-04,223,350,4,0
,45-05,199,303,4,4
,45-06,197,243,6,2
,45-07,178,163,8,1
,45-08,214,83,3,0
,45-09,197,54,0,1
,45-10,199,49,0,0
,45-11,263,53,1,1
,45-12,88,91,5,0
,45-13,208,61,1,1
,45-14,55,32,0,0
,45-15,251,262,4,1
,45-16,205,45,3,0
,45-17,271,59,2,2
,45-18,176,61,1,0
,45-19,204,39,3,0
,45-20,170,364,5,0
,45-21,193,45,3,0
,45-22,154,225,4,0
,45-23,198,318,8,1
,45-24,271,343,7,0
,45-25,145,296,7,2
,46-01,569,21,7,3
,46-02,429,13,1,5
,46-03,495,10,3,2
,46-04,358,7,6,2
,46-05,347,11,3,3
,46-06,447,8,4,1
,46-07,453,13,2,3
,46-08,651,30,5,2
,46-09,474,9,5,2
,46-10,398,8,0,4
,46-11,431,9,0,0
,46-12,434,10,0,1
,46-13,338,8,3,1
,46-14,317,7,3,4
,46-15,396,11,2,1
,46-16,618,32,3,10
,46-17,713,28,3,5
,46-18,474,15,4,4
,46-19,621,29,4,4
,46-20,339,19,2,2
,46-21,262,8,1,0
,46-22,662,31,5,7
,46-23,621,22,2,5
,47-01,557,57,6,2
,47-02,289,15,3,1
,47-03,437,30,5,2
,47-04,197,13,2,0
,47-05,275,11,1,1
,47-06,234,13,3,0
,47-07,261,8,2,0
,47-08,237,12,4,2
,47-09,183,8,1,1
,47-10,148,10,1,6
,47-11,178,3,2,0
,47-12,237,10,2,2
,47-13,202,8,1,0
,47-14,126,0,0,1
,48-01,368,57,0,1
,48-02,425,19,3,2
,48-03,449,21,4,1
,48-04,413,17,3,0
,48-05,300,41,2,4
,48-06,313,21,5,0
,48-07,270,96,2,0
,48-08,405,17,1,4
,48-09,295,29,0,2
,48-10,224,91,3,0
,48-11,219,15,1,1
,48-12,361,76,1,2
,48-13,346,103,1,1
,48-14,281,68,2,1
,48-15,352,51,6,1
,48-16,323,54,1,4
,48-17,371,93,2,0
,48-18,278,65,2,1
,48-19,172,116,0,1
,48-20,318,67,2,3
,48-21,519,20,3,3
,48-22,123,90,0,0
,48-23,350,17,1,0
,49-01,315,26,1,2
,49-02,479,23,3,2
,49-03,660,31,5,5
,49-04,328,12,0,0
,49-05,495,15,3,0
,49-06,415,11,1,0
,49-07,484,12,4,2
,49-08,514,27,2,3
,49-09,605,70,3,0
,49-10,426,15,0,0
,49-11,382,26,3,0
,49-12,450,8,3,0
,49-13,244,14,0,2
,49-14,356,13,1,0
,49-15,395,18,2,0
,49-16,411,18,4,3
,49-17,430,32,7,3
,49-18,449,19,3,1
,49-19,437,14,3,1
,49-20,494,14,1,1
,49-21,586,39,5,0
,49-22,544,8,1,1
,50-01,419,12,0,0
,50-02,529,12,1,2
,50-03,536,17,0,0
,50-04,490,7,3,0
,50-05,483,10,0,0
,50-06,398,17,1,1
,50-07,553,14,1,0
,50-08,506,19,1,0
,50-09,478,19,2,0
,50-10,432,21,0,1
,50-11,370,9,1,2
,50-12,498,22,1,0
,50-13,437,11,2,1
,50-14,416,15,2,0
,50-15,458,15,1,1
,50-16,543,12,2,0
,50-17,451,9,2,1
,50-18,454,11,3,1
,50-19,560,18,1,0
,50-20,504,9,0,2
,50-21,597,16,2,3
,50-22,553,17,3,1
,50-23,406,7,2,0
,50-24,511,18,1,0
,50-25,398,4,3,1
,50-26,459,12,1,2
,50-27,471,13,2,2
,50-28,485,15,1,1
,50-29,519,18,3,0
,50-30,382,11,0,0
,51-01,303,7,2,0
,51-02,308,15,3,3
,51-03,377,11,2,0
,51-04,420,8,3,1
,51-05,436,8,4,0
,51-06,519,13,1,2
,51-07,322,5,0,2
,51-08,234,7,0,1
,51-09,287,5,0,1
,51-10,248,27,2,0
,51-11,281,7,0,1
,51-12,396,5,0,2
,51-13,377,13,0,0
,51-14,556,11,1,5
,51-15,366,15,2,0
,51-16,306,12,1,0
,51-17,356,16,1,4
,51-18,366,7,2,1
,51-19,268,2,0,0
,51-20,274,7,2,0
,51-21,257,6,1,1
,51-22,361,9,1,0
,51-23,264,7,4,0
,51-24,326,20,3,0
,51-25,435,19,1,2
,51-26,288,9,1,0
,51-27,268,12,1,1
,51-28,356,10,2,0
,52-01,298,5,1,0
,52-02,412,25,3,1
,52-03,213,64,3,1
,52-04,263,15,0,1
,52-05,375,29,2,2
,52-06,395,23,5,2
,52-07,454,48,6,1
,52-08,315,18,0,0
,52-09,422,36,0,2
,52-10,370,32,6,0
,52-11,467,37,3,0
,52-12,573,50,7,0
,52-13,507,22,3,3
,52-14,411,23,1,2
,52-15,455,23,3,4
,52-16,534,42,0,3
,52-17,482,16,5,1
,52-18,478,15,0,1
,52-19,439,17,1,0
,52-20,412,26,4,4
,52-21,385,6,3,0
,52-22,431,15,1,2
,52-23,431,12,2,2
,52-24,442,9,0,2
,52-25,524,10,4,2
,52-26,508,12,4,1
,52-27,514,20,4,0
,52-28,257,58,1,0
,53-01,355,57,1,0
,53-02,385,61,1,2
,53-03,374,51,2,2
,53-04,372,71,3,0
,53-05,429,64,7,0
,53-06,281,80,3,0
,53-07,331,65,2,0
,53-08,213,38,2,1
,53-09,230,55,2,0
,53-10,224,53,1,0
,53-11,255,72,2,0
,53-12,345,116,2,2
,53-13,331,71,2,0
,53-14,256,106,4,1
,53-15,315,106,0,1
,53-16,256,127,3,0
,53-17,262,83,1,0
,53-18,309,129,0,3
,53-19,323,111,3,1
,53-20,296,190,3,1
,53-21,349,188,2,1
,53-22,312,90,4,1
,53-23,229,56,1,0
,54-01,314,30,3,0
,54-02,360,31,1,0
,54-03,297,54,3,1
,54-04,313,56,0,2
,54-05,257,57,1,1
,54-06,274,65,3,1
,54-07,232,47,4,3
,54-08,189,63,2,1
,54-09,330,62,1,1
,54-10,188,85,1,1
,54-11,186,36,0,0
,54-12,291,48,3,1
,54-13,248,55,2,1
,54-14,147,34,1,0
,54-15,163,72,1,0
,54-16,186,76,4,0
,54-17,215,34,3,0
,54-18,232,48,0,0
,54-19,174,58,0,0
,54-20,205,59,4,0
,54-21,179,88,3,1
,54-22,203,59,2,0
,55-01,292,110,2,1
,55-02,336,121,7,1
,55-03,266,130,3,2
,55-04,246,162,5,3
,55-05,277,126,2,0
,55-06,241,113,5,0
,55-07,351,141,8,1
,55-08,164,106,3,1
,55-09,186,78,3,1
,55-10,226,87,2,1
,55-11,175,109,6,2
,55-12,171,139,2,0
,55-13,170,124,3,0
,55-14,201,153,1,0
,55-15,161,111,1,0
,55-16,184,127,1,0
,55-17,163,132,1,1
,55-18,150,127,2,0
,55-19,128,114,1,0
,55-20,149,95,2,0
,55-21,162,124,1,2
,55-22,151,84,3,1
,55-23,138,82,3,0
,55-24,196,125,5,4
,55-25,258,127,6,3
,55-26,276,131,4,1
,55-27,193,131,4,1
,55-28,190,170,4,1
,55-29,259,168,4,3
,56-01,318,137,1,2
,56-02,213,135,3,2
,56-03,184,87,1,2
,56-04,195,121,3,0
,56-05,163,156,4,1
,56-06,332,209,2,0
,56-07,275,198,5,1
,56-08,314,276,10,2
,56-09,235,148,4,0
,56-10,193,166,2,0
,56-11,148,140,4,1
,56-12,215,169,3,0
,56-13,227,96,4,0
,56-14,168,95,2,1
,56-15,166,113,3,0
,56-16,190,125,1,1
,56-17,215,131,5,2
,56-18,161,146,2,0
,56-19,345,302,0,0
,56-20,141,97,1,2
,56-21,181,151,3,2
,56-22,134,191,2,0
,56-23,246,180,3,0
,56-24,222,140,0,1
,56-25,300,118,1,0
,56-26,226,174,1,2
,56-27,201,110,1,0
,56-28,226,124,5,2
,56-29,193,140,4,0
,56-30,354,327,7,1
,56-31,262,209,4,0
,56-32,154,96,0,2
,56-33,211,88,0,0
,56-34,187,62,3,0
,56-35,224,103,0,0
,56-36,176,89,3,2
,56-37,197,128,2,0
,56-38,250,137,3,1
,56-39,306,190,4,4
,56-40,185,79,2,1
,56-41,407,176,6,0
,57-01,196,255,4,1
,57-02,313,263,4,2
,57-03,238,205,6,3
,57-04,236,157,1,1
,57-05,199,117,4,1
,57-06,454,191,7,2
,57-07,329,81,2,0
,57-08,304,230,7,0
,57-09,203,130,0,2
,57-10,368,212,4,0
,57-11,281,225,4,4
,57-12,230,244,7,1
,57-13,198,416,8,1
,57-14,190,311,3,1
,57-15,265,207,4,0
,57-16,175,220,3,2
,57-17,184,298,5,0
,57-18,240,272,5,2
,57-19,159,209,6,1
,57-20,202,122,2,1
,57-21,176,186,1,1
,57-22,172,226,4,0
,57-23,276,198,1,1
,57-24,172,171,5,4
,57-25,247,170,3,1
,57-26,284,133,0,4
,57-27,479,129,0,1
,57-28,151,238,5,0
,58-01,196,154,2,3
,58-02,122,114,0,0
,58-03,371,378,4,3
,58-04,195,412,4,3
,58-05,434,433,12,0
,58-06,220,263,0,0
,58-07,175,246,4,2
,58-08,349,338,6,2
,58-09,247,343,5,1
,58-10,236,267,5,1
,58-11,241,218,6,0
,58-12,208,289,2,0
,58-13,235,263,2,1
,58-14,179,206,1,0
,58-15,190,129,1,1
,58-16,220,279,4,1
,58-17,282,319,5,0
,58-18,295,173,2,0
,58-19,303,393,3,2
,58-20,282,214,7,1
,58-21,230,351,2,2
,58-22,193,256,2,2
,58-23,313,361,3,0
,58-24,443,407,5,2
,58-25,260,222,2,0
,58-26,236,285,4,0
,58-27,219,211,3,1
,58-28,198,211,1,1
,58-29,335,416,6,0
,58-30,241,234,3,1
,58-31,331,305,0,0
,58-32,154,131,1,0
,58-33,123,244,3,0
,58-34,240,257,3,3
,58-35,219,474,4,0
,58-36,121,133,0,0
,58-37,223,283,4,0
,58-38,136,211,5,2
,58-39,188,344,4,1
,58-40,151,153,4,0
,58-41,306,443,4,3
,58-42,218,181,2,1
,58-43,190,197,4,1
,58-44,295,254,4,0
,59-01,362,13,5,0
,59-02,419,5,1,0
,59-03,374,11,2,0
,59-04,571,13,3,1
,59-05,466,12,2,0
,59-06,271,7,1,1
,59-07,326,12,3,1
,59-08,368,15,2,1
,59-09,292,5,3,0
,59-10,532,16,7,5
,59-11,378,5,2,1
,59-12,392,12,3,2
,59-13,416,9,6,1
,59-14,272,8,0,0
,59-15,298,17,0,4
,59-16,353,14,1,1
,59-17,615,30,5,1
,59-18,370,27,2,2
,59-19,542,18,4,3
,59-20,267,31,2,1
,59-21,446,21,5,4
,59-22,444,18,3,2
,59-23,362,7,0,2
,59-24,371,10,2,1
,59-25,423,19,1,0
,60-01,327,18,2,4
,60-02,401,17,3,4
,60-03,322,9,1,2
,60-04,356,14,4,1
,60-05,404,9,4,0
,60-06,324,12,2,0
,60-07,337,6,3,4
,60-08,328,7,2,1
,60-09,619,20,0,2
,60-10,295,4,3,1
,60-11,414,7,0,2
,60-12,382,9,2,1
,60-13,311,15,2,2
,60-14,405,12,4,0
,60-15,349,11,1,5
,60-16,359,9,2,1
,60-17,401,8,2,1
,60-18,345,11,2,1
,60-19,341,11,2,0
,60-20,375,14,1,0
,60-21,262,8,0,3
,60-22,305,7,1,2
,60-23,419,33,2,2
,61-01,340,36,1,0
,61-02,385,39,3,2
,61-03,385,59,1,1
,61-04,334,50,2,3
,61-05,349,90,1,1
,61-06,663,34,5,1
,61-07,454,51,3,3
,61-08,421,39,8,0
,61-09,404,34,5,4
,61-10,427,69,1,0
,61-11,390,23,3,1
,61-12,378,14,0,0
,61-13,432,29,5,0
,61-14,405,33,3,0
,61-15,342,42,1,1
,61-16,375,59,3,0
,61-17,378,49,5,2
,61-18,429,74,0,1
,61-19,381,65,0,1
,61-20,367,18,2,0
,61-21,524,17,3,1
,61-22,330,21,1,1
,61-23,463,26,6,1
,61-24,266,33,5,1
,61-25,393,36,2,2
,61-26,381,35,6,1
,61-27,458,21,2,1
,61-28,432,10,1,0
,62-01,370,76,4,1
,62-02,314,60,3,0
,62-03,269,71,4,0
,62-04,402,61,3,3
,62-05,235,64,5,0
,62-06,329,59,6,0
,62-07,378,65,3,3
,62-08,376,58,3,1
,62-09,269,25,1,0
,62-10,323,53,1,1
,62-11,441,68,3,0
,62-12,319,66,0,0
,62-13,362,60,1,1
,62-14,393,71,2,2
,62-15,312,96,3,0
,62-16,322,67,4,1
,62-17,274,80,2,0
,62-18,272,90,4,1
,62-19,230,123,2,0
,62-20,327,91,2,2
,62-21,214,71,5,0
,62-22,303,73,4,0
,62-23,186,110,2,0
,62-24,246,81,6,3
,62-25,224,109,5,1
,62-26,247,99,2,1
,63-01,252,268,5,1
,63-02,232,254,5,0
,63-03,275,376,6,3
,63-04,335,283,3,2
,63-05,216,226,2,0
,63-06,352,176,5,1
,63-07,98,45,0,0
,63-08,268,218,4,2
,63-09,293,249,7,4
,63-10,276,295,4,2
,63-11,419,300,5,1
,63-12,269,205,6,1
,63-13,353,243,4,0
,63-14,225,253,4,2
,63-15,253,258,5,1
,63-16,162,226,2,2
,63-17,114,293,2,1
,63-18,227,273,4,1
,63-19,207,257,1,0
,63-20,217,223,6,2
,63-21,239,196,5,1
,63-22,253,186,4,1
,63-23,455,346,7,3
,63-24,207,201,2,1
,63-25,141,159,2,0
,64-01,245,141,3,2
,64-02,279,291,2,2
,64-03,246,182,3,1
,64-04,203,186,4,3
,64-05,251,218,5,1
,64-06,182,191,6,1
,64-07,227,169,1,1
,64-08,179,165,2,2
,64-09,191,100,3,1
,64-10,191,145,0,4
,64-11,145,130,1,1
,64-12,123,83,1,0
,64-13,110,134,1,0
,64-14,135,125,2,0
,64-15,239,126,0,2
,64-16,208,232,3,0
,64-17,119,138,1,0
,64-18,291,261,4,1
,65-01,218,417,3,0
,65-02,237,353,3,0
,65-03,248,125,8,0
,65-04,430,251,3,2
,65-05,187,124,3,1
,65-06,136,66,3,1
,65-07,303,498,5,2
,65-08,241,144,2,0
,65-09,281,214,6,0
,65-10,352,414,4,4
,65-11,328,152,2,0
,65-12,159,52,3,1
,65-13,190,109,1,0
,65-14,207,59,6,0
,65-15,238,68,2,0
,65-16,223,118,5,0
,65-17,318,145,4,1
,65-18,319,78,1,2
,65-19,202,127,2,2
,65-20,549,375,7,1
,65-21,225,131,4,1
,65-22,238,114,4,0
,65-23,222,276,7,0
,66-01,254,204,6,2
,66-02,143,185,3,0
,66-03,138,236,4,0
,66-04,142,192,4,1
,66-05,230,191,9,0
,66-06,158,271,2,1
,66-07,160,225,4,0
,66-08,447,339,5,1
,66-09,162,271,8,0
,66-10,216,254,5,5
,66-11,186,270,2,1
,66-12,275,212,1,0
,66-13,157,198,3,0
,66-14,179,345,4,0
,66-15,315,259,2,1
,66-16,127,188,5,0
,66-17,197,219,4,1
,66-18,217,214,1,2
,66-19,253,220,4,1
,66-20,261,216,1,0
,66-21,363,416,8,4
,66-22,382,415,8,0
,66-23,254,278,3,0
,66-24,202,216,2,0
,66-25,141,236,3,1
,66-26,237,309,2,1
,66-27,180,199,2,1
,66-28,229,253,3,2
,66-29,240,396,4,0
,66-30,211,287,2,0
,66-31,200,246,3,0
,66-32,255,234,1,2
,66-33,285,335,4,1
,66-34,151,306,4,1
,66-35,220,284,6,0
,66-36,259,389,7,0
,66-37,266,163,4,2
,66-38,229,278,4,0
,66-39,224,254,2,2
,66-40,143,195,4,1
,66-41,338,202,3,1
,66-42,174,258,1,1
,66-43,259,382,4,1
,66-44,191,291,5,2
,66-45,126,241,2,2
,66-46,180,273,5,0
,TOTALS,575974,128308,4671,1978
